Graphics Coprocessor	Count
Intel HD Integrated Graphics	1
Intel HD Grpahics 500	1
NVIDIA RTX 2070	1
NVIDIA GeForce RTX 3050 Ti Max-Q Graphics	1
NVIDIA GeForcer A3000	1
GeForce RTX 2060	1
NVIDIA GeForce	1
NVIDIA GeForce GTX 1070	1
NVIDIA RTX3050	1
NVIDIA GeForce RTX A2000	1
NVIDIA GeForce GTX 1060 OC	1
NVIDIA GeForce GT 720M	1
MediaTek Integrated	1
MediaTek	1
Intel HD 5500	1
Integrated IntelÂ® UHD 600 Graphics	1
ATI Mobility Radeon 7500	1
Mobile Intel 4 Series express	1
NVIDIA RTX A4000 8GB GDDR6	1
NVIDIA GeForce GTX 965M	1
